record_id,season,date,team,opponent,player,runs,balls,fours,sixes,strike_rate,wickets,overs_bowled,economy
219,2021,2022-04-29,Gujarat Titans,Royal Challengers Bangalore,Sai Sudharsan,67,44,4,5,152.27,0,2.2,8.04
220,2024,2022-07-07,Punjab Kings,Kolkata Knight Riders,Kagiso Rabada,43,24,1,0,179.17,0,2.1,9.4
221,2021,2024-01-19,Mumbai Indians,Kolkata Knight Riders,Rohit Sharma,55,59,10,2,93.22,0,3.6,5.92
222,2025,2025-02-16,Mumbai Indians,Delhi Capitals,Suryakumar Yadav,72,61,7,4,118.03,0,1.2,12.23
223,2025,2023-01-05,Lucknow Super Giants,Mumbai Indians,Nicholas Pooran,3,6,0,0,50.0,1,3.1,8.23
224,2021,2022-08-06,Delhi Capitals,Royal Challengers Bangalore,Kuldeep Yadav,49,41,10,1,119.51,0,3.2,11.21
225,2021,2021-10-18,Gujarat Titans,Rajasthan Royals,Shubman Gill,29,32,1,4,90.62,0,2.8,9.73
226,2023,2023-12-31,Mumbai Indians,Rajasthan Royals,Hardik Pandya,22,19,5,0,115.79,0,3.0,10.22
227,2021,2025-03-31,Lucknow Super Giants,Delhi Capitals,Nicholas Pooran,2,9,0,0,22.22,0,3.4,6.37
228,2024,2021-10-05,Rajasthan Royals,Sunrisers Hyderabad,Sanju Samson,4,5,1,0,80.0,1,1.3,5.86
229,2024,2024-02-14,Punjab Kings,Lucknow Super Giants,Arshdeep Singh,6,31,0,1,19.35,0,1.3,9.75
230,2023,2023-07-27,Sunrisers Hyderabad,Mumbai Indians,Heinrich Klaasen,49,29,1,3,168.97,0,1.5,8.09
231,2022,2024-01-05,Delhi Capitals,Rajasthan Royals,Axar Patel,2,14,0,0,14.29,0,1.9,11.15
232,2023,2024-10-02,Delhi Capitals,Kolkata Knight Riders,Anrich Nortje,25,36,6,0,69.44,0,1.0,8.21
233,2025,2023-02-15,Sunrisers Hyderabad,Rajasthan Royals,Aiden Markram,17,32,4,0,53.12,0,3.1,8.84
234,2022,2025-02-22,Sunrisers Hyderabad,Rajasthan Royals,Heinrich Klaasen,62,45,9,3,137.78,0,1.8,11.17
235,2023,2024-04-22,Chennai Super Kings,Delhi Capitals,Devon Conway,1,16,0,0,6.25,0,1.9,10.47
236,2024,2022-12-12,Punjab Kings,Royal Challengers Bangalore,Kagiso Rabada,16,20,4,0,80.0,0,3.4,5.76
237,2025,2024-02-02,Punjab Kings,Sunrisers Hyderabad,Arshdeep Singh,88,64,6,0,137.5,1,2.1,12.01
238,2025,2022-08-22,Lucknow Super Giants,Chennai Super Kings,KL Rahul,85,47,5,2,180.85,0,1.1,12.68
239,2024,2021-04-22,Rajasthan Royals,Punjab Kings,Sanju Samson,8,11,2,0,72.73,0,2.2,11.07
240,2025,2021-05-21,Gujarat Titans,Royal Challengers Bangalore,David Miller,13,35,3,0,37.14,2,1.3,11.52
241,2022,2023-10-20,Rajasthan Royals,Delhi Capitals,Yashasvi Jaiswal,26,55,6,0,47.27,0,1.3,10.69
242,2024,2021-07-01,Rajasthan Royals,Chennai Super Kings,Yashasvi Jaiswal,90,56,1,0,160.71,1,2.9,10.35
243,2022,2024-05-05,Kolkata Knight Riders,Lucknow Super Giants,Rinku Singh,10,15,2,0,66.67,2,1.7,8.28
244,2022,2021-05-30,Royal Challengers Bangalore,Punjab Kings,Rajat Patidar,78,52,3,7,150.0,0,2.2,10.56
245,2022,2021-10-26,Delhi Capitals,Chennai Super Kings,Kuldeep Yadav,68,56,2,5,121.43,0,2.4,7.19
246,2024,2023-06-05,Gujarat Titans,Rajasthan Royals,Rashid Khan,50,44,9,1,113.64,0,3.5,9.89
247,2023,2021-12-31,Lucknow Super Giants,Chennai Super Kings,Ravi Bishnoi,7,25,1,0,28.0,0,2.1,6.27
248,2024,2023-05-26,Sunrisers Hyderabad,Royal Challengers Bangalore,Bhuvneshwar Kumar,23,32,5,0,71.88,0,2.5,6.27
249,2023,2021-04-20,Punjab Kings,Mumbai Indians,Jitesh Sharma,17,36,3,0,47.22,2,2.5,8.96
250,2024,2022-03-09,Sunrisers Hyderabad,Gujarat Titans,Aiden Markram,18,10,0,3,180.0,0,1.8,9.29
251,2022,2024-02-11,Punjab Kings,Gujarat Titans,Arshdeep Singh,18,12,1,2,150.0,1,3.5,7.99
252,2021,2023-08-19,Punjab Kings,Lucknow Super Giants,Liam Livingstone,20,11,3,1,181.82,1,1.1,7.2
253,2021,2022-06-04,Punjab Kings,Chennai Super Kings,Liam Livingstone,94,56,9,5,167.86,1,2.8,8.45
254,2025,2021-07-31,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,44,41,8,2,107.32,0,1.5,12.64
255,2023,2025-01-21,Delhi Capitals,Rajasthan Royals,Kuldeep Yadav,12,57,2,0,21.05,2,4.0,11.79
256,2022,2025-03-27,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,15,25,3,0,60.0,0,2.7,7.24
257,2024,2024-10-19,Sunrisers Hyderabad,Gujarat Titans,Abhishek Sharma,98,55,1,6,178.18,0,1.8,12.32
258,2023,2024-07-05,Punjab Kings,Gujarat Titans,Jitesh Sharma,1,5,0,0,20.0,1,3.4,8.22
259,2024,2023-01-22,Kolkata Knight Riders,Gujarat Titans,Andre Russell,36,58,5,2,62.07,0,2.5,7.81
260,2021,2023-10-29,Mumbai Indians,Royal Challengers Bangalore,Jasprit Bumrah,1,6,0,0,16.67,0,4.0,8.45
261,2022,2021-10-09,Delhi Capitals,Royal Challengers Bangalore,Axar Patel,46,46,4,1,100.0,0,3.7,6.46
262,2024,2024-12-03,Delhi Capitals,Kolkata Knight Riders,Prithvi Shaw,3,10,0,0,30.0,0,1.4,6.92
263,2024,2023-03-05,Mumbai Indians,Chennai Super Kings,Jasprit Bumrah,15,57,3,0,26.32,0,1.7,5.88
264,2021,2022-12-04,Chennai Super Kings,Sunrisers Hyderabad,Ravindra Jadeja,12,13,2,0,92.31,0,2.7,9.84
265,2022,2022-06-11,Punjab Kings,Rajasthan Royals,Kagiso Rabada,19,45,4,0,42.22,1,1.3,5.96
266,2021,2023-08-28,Lucknow Super Giants,Sunrisers Hyderabad,Ayush Badoni,50,25,2,3,200.0,0,1.3,9.41
267,2025,2021-05-25,Lucknow Super Giants,Delhi Capitals,Ravi Bishnoi,84,59,4,3,142.37,0,2.5,10.88
268,2023,2023-05-31,Mumbai Indians,Delhi Capitals,Hardik Pandya,7,12,1,0,58.33,0,3.9,12.7
269,2023,2023-08-10,Royal Challengers Bangalore,Punjab Kings,Dinesh Karthik,34,28,8,0,121.43,1,3.9,11.05
270,2021,2022-09-19,Lucknow Super Giants,Chennai Super Kings,KL Rahul,2,18,0,0,11.11,0,2.9,9.01
271,2024,2024-11-02,Sunrisers Hyderabad,Punjab Kings,Abhishek Sharma,68,39,9,2,174.36,0,1.9,9.09
272,2022,2023-06-10,Royal Challengers Bangalore,Lucknow Super Giants,Glenn Maxwell,81,42,10,1,192.86,0,2.3,12.45
273,2022,2023-09-07,Mumbai Indians,Delhi Capitals,Rohit Sharma,14,12,3,0,116.67,0,3.2,10.83
274,2021,2021-04-24,Mumbai Indians,Kolkata Knight Riders,Jasprit Bumrah,15,15,3,0,100.0,0,1.4,11.14
275,2023,2023-08-28,Chennai Super Kings,Mumbai Indians,Ravindra Jadeja,33,22,1,4,150.0,0,2.7,5.79
276,2024,2024-01-19,Gujarat Titans,Rajasthan Royals,Shubman Gill,72,59,2,5,122.03,0,3.3,12.0
277,2021,2021-06-30,Kolkata Knight Riders,Lucknow Super Giants,Shreyas Iyer,1,59,0,0,1.69,0,2.1,6.34
278,2021,2023-01-20,Gujarat Titans,Sunrisers Hyderabad,Sai Sudharsan,26,20,5,1,130.0,1,2.7,6.11
279,2021,2021-07-04,Royal Challengers Bangalore,Delhi Capitals,Dinesh Karthik,4,30,1,0,13.33,1,1.9,5.86
280,2024,2022-11-19,Mumbai Indians,Sunrisers Hyderabad,Suryakumar Yadav,38,41,9,0,92.68,0,2.8,8.95
281,2022,2021-04-14,Gujarat Titans,Kolkata Knight Riders,Sai Sudharsan,52,64,0,3,81.25,0,2.9,10.47
282,2021,2023-05-11,Rajasthan Royals,Mumbai Indians,Trent Boult,94,59,4,1,159.32,0,3.9,8.39
283,2021,2021-06-29,Royal Challengers Bangalore,Rajasthan Royals,Virat Kohli,29,63,7,0,46.03,0,2.1,12.61
284,2021,2021-12-30,Lucknow Super Giants,Chennai Super Kings,Krunal Pandya,50,45,1,0,111.11,0,3.9,7.0
285,2023,2023-01-29,Rajasthan Royals,Punjab Kings,Trent Boult,28,25,4,2,112.0,0,1.6,11.13
286,2025,2022-03-03,Chennai Super Kings,Kolkata Knight Riders,Ruturaj Gaikwad,59,33,5,6,178.79,0,2.1,11.05
287,2024,2021-12-02,Delhi Capitals,Gujarat Titans,Axar Patel,5,10,1,0,50.0,1,3.1,5.51
288,2023,2022-08-22,Royal Challengers Bangalore,Chennai Super Kings,Mohammed Siraj,25,27,6,0,92.59,0,1.8,12.73
289,2021,2024-05-01,Sunrisers Hyderabad,Gujarat Titans,Bhuvneshwar Kumar,6,20,1,0,30.0,1,1.4,5.29
290,2022,2023-05-03,Royal Challengers Bangalore,Delhi Capitals,Rajat Patidar,80,48,10,1,166.67,0,1.8,11.38
291,2021,2023-09-26,Chennai Super Kings,Delhi Capitals,Deepak Chahar,16,56,1,2,28.57,0,3.8,5.58
292,2025,2021-05-31,Sunrisers Hyderabad,Punjab Kings,Aiden Markram,43,29,6,2,148.28,0,3.7,7.29
293,2024,2024-09-20,Royal Challengers Bangalore,Mumbai Indians,Dinesh Karthik,31,44,7,0,70.45,0,3.6,8.84
294,2021,2023-08-07,Delhi Capitals,Punjab Kings,David Warner,33,17,3,0,194.12,3,3.3,7.93
295,2025,2024-01-24,Punjab Kings,Rajasthan Royals,Arshdeep Singh,24,25,4,1,96.0,0,2.8,5.42
296,2023,2023-04-03,Mumbai Indians,Gujarat Titans,Tilak Varma,74,54,3,2,137.04,0,3.0,7.23
297,2021,2022-03-22,Kolkata Knight Riders,Punjab Kings,Andre Russell,15,16,3,0,93.75,1,3.1,12.15
298,2021,2022-04-21,Rajasthan Royals,Royal Challengers Bangalore,Ravichandran Ashwin,63,58,8,4,108.62,0,1.1,5.63
299,2025,2023-12-05,Kolkata Knight Riders,Mumbai Indians,Venkatesh Iyer,5,5,1,0,100.0,1,2.0,6.55
300,2023,2024-07-15,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,18,50,1,2,36.0,2,2.1,12.36
301,2024,2022-12-10,Lucknow Super Giants,Chennai Super Kings,Ayush Badoni,8,25,2,0,32.0,1,3.9,10.13
302,2022,2024-12-24,Gujarat Titans,Rajasthan Royals,Sai Sudharsan,22,42,5,0,52.38,1,1.9,6.55
303,2021,2021-06-06,Lucknow Super Giants,Sunrisers Hyderabad,Krunal Pandya,20,16,5,0,125.0,0,1.3,8.97
304,2023,2023-01-15,Chennai Super Kings,Delhi Capitals,Ravindra Jadeja,20,15,1,2,133.33,0,1.8,7.1
305,2021,2025-04-15,Rajasthan Royals,Delhi Capitals,Sanju Samson,0,5,0,0,0.0,1,3.9,11.92
306,2024,2023-05-09,Sunrisers Hyderabad,Rajasthan Royals,Bhuvneshwar Kumar,15,11,3,0,136.36,0,1.2,11.63
307,2023,2021-11-01,Mumbai Indians,Sunrisers Hyderabad,Ishan Kishan,10,9,2,0,111.11,0,1.2,12.36
308,2021,2021-06-03,Rajasthan Royals,Gujarat Titans,Trent Boult,21,32,5,0,65.62,0,1.3,6.76
309,2022,2025-05-04,Sunrisers Hyderabad,Lucknow Super Giants,Pat Cummins,33,39,8,0,84.62,0,1.3,8.19
310,2025,2023-04-09,Punjab Kings,Royal Challengers Bangalore,Shikhar Dhawan,6,5,1,0,120.0,1,2.9,8.85
311,2021,2024-10-29,Mumbai Indians,Delhi Capitals,Suryakumar Yadav,5,23,1,0,21.74,0,2.2,8.92
312,2023,2022-04-14,Chennai Super Kings,Lucknow Super Giants,Shivam Dube,56,28,6,5,200.0,0,1.1,8.54
313,2023,2021-08-05,Kolkata Knight Riders,Rajasthan Royals,Venkatesh Iyer,24,14,6,0,171.43,0,2.0,9.32
314,2025,2023-06-02,Kolkata Knight Riders,Lucknow Super Giants,Shreyas Iyer,66,57,6,7,115.79,0,1.7,7.47
315,2024,2024-02-23,Mumbai Indians,Lucknow Super Giants,Tilak Varma,73,56,10,2,130.36,0,3.3,6.51
316,2022,2021-06-27,Kolkata Knight Riders,Delhi Capitals,Rinku Singh,10,32,2,0,31.25,0,3.5,6.32
317,2025,2021-08-16,Delhi Capitals,Sunrisers Hyderabad,Anrich Nortje,12,10,3,0,120.0,0,3.6,9.15
318,2021,2021-11-17,Lucknow Super Giants,Gujarat Titans,Marcus Stoinis,9,31,2,0,29.03,2,2.7,5.97
319,2023,2022-09-23,Gujarat Titans,Rajasthan Royals,Rahul Tewatia,41,29,7,2,141.38,0,1.8,6.29
320,2025,2023-02-08,Sunrisers Hyderabad,Mumbai Indians,Aiden Markram,30,49,0,5,61.22,2,3.7,5.35
321,2023,2025-02-24,Delhi Capitals,Rajasthan Royals,Prithvi Shaw,12,48,3,0,25.0,0,3.2,11.08
322,2023,2024-11-13,Delhi Capitals,Punjab Kings,Kuldeep Yadav,6,10,1,0,60.0,2,2.2,8.88
323,2025,2022-02-20,Rajasthan Royals,Mumbai Indians,Ravichandran Ashwin,9,9,2,0,100.0,0,3.6,11.88
324,2021,2021-07-28,Royal Challengers Bangalore,Delhi Capitals,Faf du Plessis,2,20,0,0,10.0,2,3.1,7.28
325,2024,2021-12-10,Gujarat Titans,Sunrisers Hyderabad,Mohammed Shami,3,48,0,0,6.25,0,2.3,12.5
326,2024,2023-03-07,Lucknow Super Giants,Gujarat Titans,Ayush Badoni,26,15,4,1,173.33,0,2.2,6.44
327,2025,2022-07-06,Kolkata Knight Riders,Delhi Capitals,Varun Chakravarthy,26,48,4,1,54.17,0,3.6,12.55
328,2021,2022-03-21,Punjab Kings,Royal Challengers Bangalore,Kagiso Rabada,1,43,0,0,2.33,0,3.8,10.62
329,2023,2023-10-28,Sunrisers Hyderabad,Punjab Kings,Heinrich Klaasen,13,21,3,0,61.9,0,3.5,8.22
330,2021,2023-05-07,Mumbai Indians,Lucknow Super Giants,Jasprit Bumrah,76,40,9,4,190.0,0,1.3,5.69
331,2023,2024-12-04,Rajasthan Royals,Delhi Capitals,Yashasvi Jaiswal,83,50,4,3,166.0,0,3.3,12.04
332,2025,2022-01-12,Sunrisers Hyderabad,Rajasthan Royals,Pat Cummins,3,51,0,0,5.88,4,1.8,8.38
333,2024,2025-04-27,Mumbai Indians,Delhi Capitals,Ishan Kishan,28,50,7,0,56.0,2,3.0,9.06
334,2022,2021-10-17,Gujarat Titans,Royal Challengers Bangalore,David Miller,16,35,4,0,45.71,2,3.7,10.17
335,2022,2022-12-20,Rajasthan Royals,Kolkata Knight Riders,Trent Boult,50,31,5,5,161.29,0,1.9,11.67
336,2024,2022-05-04,Mumbai Indians,Royal Challengers Bangalore,Hardik Pandya,15,37,3,0,40.54,0,2.2,11.82
337,2022,2023-07-18,Royal Challengers Bangalore,Delhi Capitals,Glenn Maxwell,58,41,2,5,141.46,1,1.5,5.81
338,2023,2021-07-28,Royal Challengers Bangalore,Sunrisers Hyderabad,Mohammed Siraj,7,5,1,0,140.0,1,1.5,11.01
339,2024,2023-09-06,Chennai Super Kings,Kolkata Knight Riders,Devon Conway,54,45,6,5,120.0,2,2.1,5.49
340,2022,2024-03-23,Rajasthan Royals,Mumbai Indians,Yashasvi Jaiswal,1,17,0,0,5.88,0,1.7,10.47
341,2023,2023-05-26,Delhi Capitals,Royal Challengers Bangalore,Rishabh Pant,39,37,2,1,105.41,1,1.9,7.41
342,2025,2023-09-06,Lucknow Super Giants,Gujarat Titans,Ayush Badoni,87,61,2,5,142.62,4,2.5,10.9
343,2022,2022-07-04,Sunrisers Hyderabad,Mumbai Indians,Travis Head,16,51,3,0,31.37,0,1.5,7.99
344,2021,2024-09-28,Sunrisers Hyderabad,Delhi Capitals,Bhuvneshwar Kumar,1,8,0,0,12.5,0,1.1,10.44
345,2024,2024-04-25,Punjab Kings,Sunrisers Hyderabad,Shikhar Dhawan,30,21,2,3,142.86,0,2.9,7.49
346,2021,2024-08-23,Gujarat Titans,Delhi Capitals,Rashid Khan,17,49,4,0,34.69,0,2.9,7.35
347,2021,2022-05-15,Punjab Kings,Kolkata Knight Riders,Arshdeep Singh,33,54,8,0,61.11,0,2.2,6.42
348,2025,2023-12-11,Punjab Kings,Kolkata Knight Riders,Kagiso Rabada,15,26,0,0,57.69,0,3.7,11.55
349,2024,2021-09-01,Royal Challengers Bangalore,Chennai Super Kings,Dinesh Karthik,92,51,1,4,180.39,0,2.4,12.63
350,2023,2022-03-24,Punjab Kings,Mumbai Indians,Shikhar Dhawan,5,60,1,0,8.33,1,1.9,10.81
351,2021,2024-12-19,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,21,46,5,0,45.65,1,3.9,7.24
352,2021,2021-11-20,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,25,30,6,0,83.33,1,3.1,8.83
353,2024,2025-02-24,Royal Challengers Bangalore,Chennai Super Kings,Faf du Plessis,7,51,1,0,13.73,0,2.8,11.3
354,2024,2024-09-04,Royal Challengers Bangalore,Punjab Kings,Glenn Maxwell,10,6,2,0,166.67,2,1.3,8.33
355,2021,2023-01-04,Chennai Super Kings,Rajasthan Royals,Deepak Chahar,10,5,2,0,200.0,3,3.0,7.77
356,2025,2024-12-16,Lucknow Super Giants,Chennai Super Kings,Marcus Stoinis,31,51,7,0,60.78,0,2.9,6.33
357,2025,2024-11-08,Lucknow Super Giants,Mumbai Indians,KL Rahul,20,64,5,0,31.25,1,3.6,5.77
358,2024,2022-10-22,Rajasthan Royals,Kolkata Knight Riders,Yashasvi Jaiswal,16,8,3,0,200.0,0,1.7,8.69
359,2025,2023-10-03,Punjab Kings,Chennai Super Kings,Sam Curran,7,25,1,0,28.0,0,2.2,9.43
360,2021,2024-05-26,Chennai Super Kings,Rajasthan Royals,Devon Conway,29,18,5,1,161.11,1,3.4,11.62
361,2023,2024-12-06,Gujarat Titans,Punjab Kings,Mohammed Shami,45,28,7,1,160.71,0,3.0,5.22
362,2023,2023-05-26,Delhi Capitals,Royal Challengers Bangalore,Kuldeep Yadav,13,49,0,2,26.53,0,3.5,10.84
363,2024,2022-05-07,Chennai Super Kings,Rajasthan Royals,Devon Conway,7,17,1,0,41.18,0,3.3,10.65
364,2021,2025-01-06,Sunrisers Hyderabad,Mumbai Indians,Pat Cummins,15,42,3,0,35.71,0,3.9,6.22
365,2024,2021-07-09,Mumbai Indians,Lucknow Super Giants,Jasprit Bumrah,55,40,9,3,137.5,2,3.3,12.12
366,2025,2023-06-03,Royal Challengers Bangalore,Kolkata Knight Riders,Virat Kohli,76,47,9,5,161.7,0,2.2,12.64
367,2022,2022-11-24,Delhi Capitals,Punjab Kings,Axar Patel,17,33,2,1,51.52,0,3.7,9.09
368,2025,2022-06-20,Rajasthan Royals,Lucknow Super Giants,Trent Boult,13,17,3,0,76.47,0,3.8,6.21
369,2022,2024-10-26,Gujarat Titans,Lucknow Super Giants,Mohammed Shami,45,25,1,5,180.0,0,2.7,12.36
370,2024,2021-04-27,Gujarat Titans,Delhi Capitals,Rahul Tewatia,13,38,0,2,34.21,0,3.0,6.72
371,2022,2021-08-06,Delhi Capitals,Rajasthan Royals,David Warner,37,49,3,0,75.51,0,2.4,9.88
372,2025,2022-07-31,Kolkata Knight Riders,Lucknow Super Giants,Sunil Narine,36,37,9,0,97.3,2,2.2,12.47
373,2023,2022-08-28,Gujarat Titans,Mumbai Indians,Shubman Gill,28,17,3,2,164.71,1,2.6,9.79
374,2022,2025-01-28,Delhi Capitals,Gujarat Titans,David Warner,5,9,1,0,55.56,0,2.3,9.43
375,2022,2023-02-06,Royal Challengers Bangalore,Rajasthan Royals,Virat Kohli,19,34,0,2,55.88,2,2.8,11.08
376,2025,2024-05-01,Delhi Capitals,Gujarat Titans,Kuldeep Yadav,4,27,1,0,14.81,2,2.6,11.18
377,2022,2023-07-06,Sunrisers Hyderabad,Lucknow Super Giants,Bhuvneshwar Kumar,11,10,2,0,110.0,0,2.0,7.43
378,2025,2024-11-20,Gujarat Titans,Punjab Kings,Rashid Khan,1,5,0,0,20.0,0,3.7,9.86
379,2025,2023-01-18,Kolkata Knight Riders,Mumbai Indians,Varun Chakravarthy,58,29,1,6,200.0,0,3.2,5.39
380,2025,2023-09-30,Rajasthan Royals,Lucknow Super Giants,Ravichandran Ashwin,5,36,1,0,13.89,0,1.2,5.93
381,2025,2021-08-13,Gujarat Titans,Mumbai Indians,Mohammed Shami,13,18,3,0,72.22,1,1.6,11.5
382,2024,2023-10-28,Chennai Super Kings,Kolkata Knight Riders,Ruturaj Gaikwad,42,50,0,1,84.0,0,1.5,7.11
383,2021,2023-07-14,Lucknow Super Giants,Kolkata Knight Riders,Ayush Badoni,28,29,7,0,96.55,0,1.1,10.32
384,2025,2024-07-13,Mumbai Indians,Royal Challengers Bangalore,Jasprit Bumrah,11,7,1,1,157.14,2,1.3,11.18
385,2023,2023-09-14,Lucknow Super Giants,Chennai Super Kings,Ayush Badoni,25,29,6,0,86.21,0,2.6,6.24
386,2024,2022-01-21,Gujarat Titans,Delhi Capitals,Mohammed Shami,43,24,10,0,179.17,2,1.0,11.85
387,2022,2024-06-16,Chennai Super Kings,Mumbai Indians,Ruturaj Gaikwad,50,43,8,1,116.28,0,3.2,12.07
388,2023,2024-02-14,Kolkata Knight Riders,Punjab Kings,Varun Chakravarthy,5,14,1,0,35.71,0,1.8,6.07
389,2025,2024-11-11,Mumbai Indians,Lucknow Super Giants,Hardik Pandya,9,40,2,0,22.5,0,1.6,9.61
390,2023,2024-12-03,Rajasthan Royals,Royal Challengers Bangalore,Trent Boult,6,20,1,0,30.0,2,2.0,8.62
391,2025,2024-06-04,Delhi Capitals,Royal Challengers Bangalore,Kuldeep Yadav,51,28,5,5,182.14,0,1.9,11.17
392,2024,2025-01-21,Delhi Capitals,Sunrisers Hyderabad,David Warner,42,51,7,2,82.35,0,3.3,8.9
393,2021,2022-01-12,Royal Challengers Bangalore,Chennai Super Kings,Glenn Maxwell,68,62,3,4,109.68,1,2.9,10.73
394,2021,2024-06-29,Gujarat Titans,Mumbai Indians,Rashid Khan,49,30,9,2,163.33,2,2.7,9.33
395,2025,2023-06-13,Punjab Kings,Royal Challengers Bangalore,Jitesh Sharma,37,19,4,2,194.74,0,2.5,8.22
396,2025,2025-01-31,Mumbai Indians,Delhi Capitals,Tilak Varma,24,15,6,0,160.0,0,1.5,12.41
397,2022,2022-06-23,Punjab Kings,Rajasthan Royals,Shikhar Dhawan,62,53,3,1,116.98,0,1.7,10.28
398,2025,2023-10-19,Rajasthan Royals,Punjab Kings,Shimron Hetmyer,5,61,0,0,8.2,0,3.9,10.02
399,2023,2022-03-23,Delhi Capitals,Lucknow Super Giants,Kuldeep Yadav,41,29,6,2,141.38,0,3.7,5.79
400,2023,2023-07-11,Sunrisers Hyderabad,Kolkata Knight Riders,Bhuvneshwar Kumar,52,27,5,5,192.59,1,3.7,5.25
401,2022,2021-09-05,Punjab Kings,Royal Challengers Bangalore,Liam Livingstone,35,37,3,2,94.59,0,2.1,10.65
402,2021,2025-04-15,Kolkata Knight Riders,Punjab Kings,Andre Russell,15,12,3,0,125.0,0,2.8,10.12
403,2024,2021-12-18,Mumbai Indians,Delhi Capitals,Rohit Sharma,75,41,2,2,182.93,0,1.1,9.55
404,2021,2024-02-23,Royal Challengers Bangalore,Rajasthan Royals,Faf du Plessis,38,30,9,0,126.67,1,3.2,11.44
405,2021,2023-11-22,Kolkata Knight Riders,Gujarat Titans,Venkatesh Iyer,61,60,2,3,101.67,1,2.8,11.24
406,2022,2022-03-10,Lucknow Super Giants,Gujarat Titans,Ayush Badoni,87,51,5,7,170.59,0,1.2,8.07
407,2022,2024-03-06,Chennai Super Kings,Mumbai Indians,MS Dhoni,64,60,10,4,106.67,1,2.8,6.55
408,2025,2024-01-26,Lucknow Super Giants,Mumbai Indians,Krunal Pandya,15,53,1,1,28.3,0,3.7,9.3
409,2021,2023-04-29,Sunrisers Hyderabad,Lucknow Super Giants,Aiden Markram,5,60,1,0,8.33,0,3.4,11.2
410,2024,2021-12-31,Rajasthan Royals,Chennai Super Kings,Shimron Hetmyer,30,21,3,1,142.86,0,3.6,8.31
411,2022,2024-03-06,Mumbai Indians,Chennai Super Kings,Tilak Varma,16,12,0,2,133.33,0,3.1,7.6
412,2023,2024-11-25,Chennai Super Kings,Kolkata Knight Riders,Shivam Dube,32,42,4,2,76.19,0,2.8,12.74
413,2024,2024-05-16,Kolkata Knight Riders,Punjab Kings,Venkatesh Iyer,22,35,5,0,62.86,0,1.9,7.82
414,2024,2022-07-15,Royal Challengers Bangalore,Chennai Super Kings,Mohammed Siraj,20,33,1,2,60.61,0,3.4,11.29
415,2025,2024-10-24,Mumbai Indians,Kolkata Knight Riders,Hardik Pandya,1,5,0,0,20.0,2,2.3,5.69
416,2022,2021-06-17,Rajasthan Royals,Chennai Super Kings,Ravichandran Ashwin,49,51,6,4,96.08,0,2.8,12.39
417,2022,2022-05-19,Punjab Kings,Gujarat Titans,Shikhar Dhawan,84,59,8,4,142.37,0,3.4,9.08
418,2022,2021-06-13,Lucknow Super Giants,Royal Challengers Bangalore,Ravi Bishnoi,15,28,3,0,53.57,3,1.3,7.3
419,2024,2024-07-14,Rajasthan Royals,Punjab Kings,Shimron Hetmyer,33,17,0,1,194.12,2,2.6,10.72
420,2025,2022-10-19,Lucknow Super Giants,Rajasthan Royals,Ayush Badoni,38,19,3,4,200.0,2,2.7,7.18
421,2024,2021-08-27,Gujarat Titans,Chennai Super Kings,Rashid Khan,37,37,5,1,100.0,1,3.9,11.86
422,2025,2024-05-28,Delhi Capitals,Gujarat Titans,Prithvi Shaw,31,35,5,1,88.57,0,3.7,11.75
423,2024,2023-05-24,Chennai Super Kings,Rajasthan Royals,Ruturaj Gaikwad,28,45,7,0,62.22,1,2.2,7.88
424,2025,2022-11-10,Mumbai Indians,Rajasthan Royals,Suryakumar Yadav,12,10,3,0,120.0,0,3.8,8.82
425,2023,2025-01-29,Kolkata Knight Riders,Rajasthan Royals,Rinku Singh,24,64,6,0,37.5,0,1.7,7.22
426,2022,2023-03-31,Kolkata Knight Riders,Delhi Capitals,Venkatesh Iyer,24,14,1,1,171.43,2,3.0,10.24
427,2025,2023-12-14,Mumbai Indians,Lucknow Super Giants,Rohit Sharma,39,28,5,3,139.29,1,3.6,9.57
428,2023,2022-10-26,Punjab Kings,Royal Challengers Bangalore,Arshdeep Singh,14,30,3,0,46.67,0,3.4,8.84
429,2025,2023-06-16,Mumbai Indians,Lucknow Super Giants,Ishan Kishan,87,60,2,7,145.0,3,3.1,8.7
430,2021,2024-07-03,Mumbai Indians,Delhi Capitals,Hardik Pandya,10,11,2,0,90.91,0,1.8,7.25
431,2025,2024-01-17,Rajasthan Royals,Sunrisers Hyderabad,Jos Buttler,26,32,6,0,81.25,0,2.2,8.63
432,2025,2025-04-16,Royal Challengers Bangalore,Delhi Capitals,Virat Kohli,15,22,3,0,68.18,1,1.6,11.28
433,2022,2023-08-12,Punjab Kings,Mumbai Indians,Liam Livingstone,17,36,4,0,47.22,1,1.9,9.47
434,2025,2025-02-13,Mumbai Indians,Punjab Kings,Rohit Sharma,1,15,0,0,6.67,0,2.9,8.62
435,2023,2024-05-22,Delhi Capitals,Sunrisers Hyderabad,Axar Patel,32,40,5,0,80.0,0,2.1,10.36
